help_topic_id,help_keyword_id
1,0
334,0
214,1
419,2
37,3
395,3
194,4
173,5
402,6
18,7
326,7
131,8
212,9
77,10
334,10
13,11
93,11
119,11
326,11
194,12
467,12
357,13
224,14
95,15
334,16
26,17
76,17
174,17
219,17
245,17
257,17
311,17
382,17
390,17
434,17
109,18
353,19
241,20
71,21
91,22
185,23
326,24
377,24
439,24
353,25
185,26
29,27
219,27
30,28
334,28
439,29
391,30
439,30
18,31
275,31
326,31
424,31
439,31
467,32
42,33
66,33
72,33
185,33
334,33
340,33
395,33
434,33
439,33
439,34
443,34
353,35
104,36
395,36
439,36
353,37
334,38
194,39
294,39
340,40
42,41
439,41
443,41
1,42
443,42
162,43
439,43
45,44
93,44
185,45
1,46
42,47
72,47
93,47
178,48
185,48
230,48
196,49
434,49
185,50
334,51
1,52
72,52
91,52
334,52
395,52
434,52
42,53
391,53
437,53
212,54
185,55
79,56
451,56
439,57
362,58
419,59
1,60
32,61
212,61
173,62
431,62
435,62
173,63
434,63
353,64
72,65
91,65
334,65
443,65
37,66
91,66
284,66
334,66
439,67
238,68
353,69
116,70
131,71
431,71
14,72
171,72
281,72
308,72
326,72
334,72
390,72
411,72
456,72
196,73
86,74
175,74
395,75
77,76
378,77
439,77
58,78
309,78
405,78
267,79
24,80
49,80
74,80
91,81
179,81
282,81
455,81
263,82
326,82
93,83
293,83
353,84
26,85
140,85
174,85
257,85
264,86
326,86
131,87
431,87
20,88
77,88
99,89
160,89
37,90
91,90
140,90
183,90
197,90
224,90
434,90
439,90
434,91
439,91
101,92
307,92
437,92
441,92
101,93
31,94
105,94
136,94
246,94
111,95
112,96
463,96
205,97
37,98
72,98
116,98
124,98
131,98
140,98
169,98
197,98
313,98
395,98
434,98
439,98
443,98
447,98
461,98
185,99
118,100
212,100
244,100
353,100
50,101
122,101
199,101
207,101
264,101
308,101
326,101
344,101
377,101
196,102
434,102
439,102
439,103
173,104
1,105
46,106
173,107
439,108
294,109
185,110
427,111
267,112
185,113
230,113
49,114
74,114
219,115
46,116
305,116
49,117
74,117
185,118
293,119
42,120
104,120
109,120
326,120
334,120
339,120
427,120
30,121
93,121
419,121
1,122
24,123
353,124
439,125
165,126
193,127
166,128
293,128
326,128
334,128
393,128
309,129
326,129
439,130
194,131
166,132
14,133
194,133
281,133
308,133
326,133
382,133
390,133
411,133
456,133
395,134
194,135
326,136
395,136
233,137
439,138
52,139
434,139
434,140
439,140
162,141
154,142
26,143
144,143
426,143
419,144
395,145
42,146
72,146
334,146
340,146
434,146
1,147
42,147
75,147
233,148
185,149
230,149
20,150
115,150
154,150
193,150
212,150
294,150
467,150
141,151
194,151
387,152
326,153
434,154
439,154
443,154
89,155
136,155
284,155
130,156
326,156
131,157
145,158
326,158
427,159
131,160
166,161
183,161
293,161
393,161
104,162
284,162
339,162
395,162
334,163
212,164
354,164
439,165
371,166
140,167
197,167
439,167
436,168
423,169
116,170
122,170
169,170
328,170
419,170
439,171
49,172
74,172
334,173
1,174
30,174
334,174
395,175
185,176
131,177
230,178
177,179
326,179
1,180
205,181
77,182
185,182
242,183
434,184
395,185
439,185
434,186
334,187
30,188
37,188
42,188
72,188
91,188
395,188
185,189
151,190
439,190
140,191
174,191
197,191
289,191
326,191
194,192
258,193
433,194
1,195
52,195
76,195
89,195
196,195
284,195
288,195
326,195
434,195
439,195
260,196
397,197
336,198
253,199
437,200
1,201
238,202
402,202
334,203
399,204
293,205
20,206
115,206
154,206
193,206
294,206
467,206
185,207
173,208
173,209
362,210
140,211
197,211
238,211
313,211
395,211
402,211
439,211
173,212
52,213
96,213
101,213
165,213
199,213
257,213
259,213
301,213
326,213
336,213
339,213
378,213
391,213
434,213
437,213
439,213
441,213
326,214
344,214
434,214
439,214
439,215
26,216
257,216
439,216
443,216
173,217
334,218
285,219
439,220
290,221
434,222
77,223
173,224
310,225
334,225
340,225
334,226
212,227
295,227
352,227
193,228
77,229
393,230
456,231
227,232
131,233
136,234
307,234
14,235
17,235
52,235
66,235
140,235
194,235
196,235
259,235
281,235
289,235
326,235
426,235
439,235
310,236
185,237
215,238
326,239
424,239
32,240
151,240
326,240
344,240
435,240
439,241
355,242
132,243
94,244
437,245
439,246
318,247
391,248
37,249
323,250
238,251
435,252
301,253
14,254
18,254
21,254
32,254
50,254
58,254
71,254
109,254
119,254
122,254
130,254
145,254
151,254
177,254
178,254
199,254
207,254
259,254
263,254
264,254
275,254
288,254
289,254
308,254
309,254
313,254
326,254
328,254
344,254
377,254
424,254
456,254
459,254
439,255
185,256
230,256
285,256
334,256
307,257
439,258
109,259
24,260
49,260
74,260
214,260
306,260
323,260
463,260
353,261
132,262
296,262
294,263
93,264
353,265
37,266
237,266
241,266
282,266
334,266
145,267
326,267
126,268
66,269
185,269
173,270
169,271
427,272
20,273
97,273
353,274
173,275
395,276
106,277
367,277
434,278
21,279
185,280
131,281
173,282
353,283
185,284
326,285
355,285
360,286
77,287
109,287
334,287
434,288
334,289
185,290
75,291
185,291
334,292
373,293
77,294
136,294
162,294
173,295
395,296
46,297
305,297
185,298
110,299
173,300
353,301
131,302
419,302
383,303
353,304
129,305
20,306
96,307
206,307
434,307
52,308
144,308
185,308
197,308
411,308
434,308
439,309
1,310
1,311
334,311
1,312
326,313
328,313
395,314
399,315
66,316
185,316
447,316
212,317
436,317
334,318
93,319
461,320
58,321
326,321
257,322
419,323
334,324
391,325
439,326
131,327
306,327
71,328
391,329
353,330
185,331
353,332
185,333
439,333
443,333
415,334
263,335
419,336
420,337
115,338
26,339
257,339
443,339
48,340
419,341
73,342
190,342
347,342
428,342
73,343
140,343
190,343
292,343
171,344
307,345
439,346
131,347
305,347
431,348
24,349
26,349
140,349
174,349
257,349
448,349
434,350
435,351
66,352
206,352
311,352
439,353
93,354
293,355
288,356
326,356
434,356
42,357
72,357
93,357
109,357
334,357
52,358
91,358
434,358
439,358
443,358
439,359
214,360
334,361
37,362
91,362
455,362
441,363
434,364
439,364
224,365
439,365
439,366
443,366
30,367
116,368
122,368
328,368
419,368
140,369
174,369
197,369
289,369
326,369
73,370
347,370
443,370
452,371
437,372
31,373
46,373
130,373
207,373
305,373
395,374
238,375
334,376
340,376
434,377
395,378
439,379
463,380
185,381
0,382
84,382
270,382
285,382
334,382
340,382
361,382
405,382
464,383
30,384
101,384
307,384
395,384
437,384
441,384
173,385
185,386
30,387
119,387
275,387
326,387
462,388
23,389
17,390
245,390
459,391
185,392
91,393
334,393
196,394
93,395
434,395
439,395
326,396
32,397
50,397
104,397
173,397
246,397
339,397
435,397
193,398
439,398
184,399
439,400

