score,event,expiration
1,login,0
2,login_remain,60
10,profile_fill,0
2,profile_see,0
1,profile_is_seen,0
10,friend_new,0
1,message_receive,0
2,message_send,0
2,article_read,0
5,article_comment,0
20,article_new,0
1,article_is_read,0
2,article_is_commented,0
10,fgallery_new,0
10,fgallery_new_file,0
5,fgallery_download,0
5,fgallery_is_downloaded,0
10,igallery_new,0
6,igallery_new_img,0
3,igallery_see_img,0
1,igallery_img_seen,0
20,blog_new,0
5,blog_post,0
2,blog_read,0
2,blog_comment,0
3,blog_is_read,0
3,blog_is_commented,0
10,wiki_new,0
5,wiki_edit,0
3,wiki_attach_file,0

